,gmDate,gmTime,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,team2PA,team2PM,team3PA,team3PM,teamFTA,teamFTM,teamORB,teamDRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,oppt2PA,oppt2PM,oppt3PA,oppt3PM,opptFTA,opptFTM,opptORB,opptDRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4
41,2016-10-28,08:00,MIA,East,Southeast,Home,Loss,2,91,19,20,2,4,23,86,32,52,18,34,14,20,13,11,41,23,34,20,14,CHA,East,Southeast,Away,Win,2,97,20,8,10,9,20,92,35,70,28,22,7,24,20,13,36,21,25,27,24
42,2016-10-28,08:00,PHO,West,Pacific,Away,Loss,1,110,15,15,11,3,29,94,42,66,37,28,5,32,21,7,37,40,13,30,19,OKC,West,Northwest,Home,Win,2,113,13,22,11,3,24,96,40,75,35,21,5,38,28,14,43,25,24,28,25
43,2016-10-28,08:00,OKC,West,Northwest,Home,Win,2,113,13,22,11,3,24,96,40,75,35,21,5,38,28,14,43,25,24,28,25,PHO,West,Pacific,Away,Loss,1,110,15,15,11,3,29,94,42,66,37,28,5,32,21,7,37,40,13,30,19
44,2016-10-28,08:30,HOU,West,Southwest,Away,Win,1,106,21,19,6,1,22,70,33,38,18,32,15,31,25,5,36,24,28,25,29,DAL,West,Southwest,Home,Loss,2,98,13,10,11,2,21,80,35,51,27,29,8,24,20,6,28,24,26,17,31
45,2016-10-28,08:30,DAL,West,Southwest,Home,Loss,2,98,13,10,11,2,21,80,35,51,27,29,8,24,20,6,28,24,26,17,31,HOU,West,Southwest,Away,Win,1,106,21,19,6,1,22,70,33,38,18,32,15,31,25,5,36,24,28,25,29
46,2016-10-28,09:00,LAL,West,Pacific,Away,Loss,1,89,16,17,6,7,29,84,32,61,23,23,9,21,16,11,32,27,16,22,24,UTA,West,Northwest,Home,Win,2,96,14,14,4,7,18,75,31,50,25,25,6,40,28,13,34,28,20,17,31
47,2016-10-28,09:00,UTA,West,Northwest,Home,Win,2,96,14,14,4,7,18,75,31,50,25,25,6,40,28,13,34,28,20,17,31,LAL,West,Pacific,Away,Loss,1,89,16,17,6,7,29,84,32,61,23,23,9,21,16,11,32,27,16,22,24
48,2016-10-28,09:30,GS,West,Pacific,Away,Win,2,122,32,14,8,2,22,91,44,63,35,28,9,28,25,9,40,32,27,33,30,NO,West,Southwest,Home,Loss,2,114,29,15,8,6,24,100,47,78,42,22,5,23,15,12,37,22,28,31,33
49,2016-10-28,09:30,NO,West,Southwest,Home,Loss,2,114,29,15,8,6,24,100,47,78,42,22,5,23,15,12,37,22,28,31,33,GS,West,Pacific,Away,Win,2,122,32,14,8,2,22,91,44,63,35,28,9,28,25,9,40,32,27,33,30
50,2016-10-29,01:00,ATL,East,Southeast,Away,Win,1,104,31,12,11,7,14,85,42,65,37,20,5,23,15,6,41,29,24,21,30,PHI,East,Atlantic,Home,Loss,2,72,16,20,9,5,20,80,28,62,23,18,5,15,11,4,35,24,15,19,14
51,2016-10-29,01:00,PHI,East,Atlantic,Home,Loss,2,72,16,20,9,5,20,80,28,62,23,18,5,15,11,4,35,24,15,19,14,ATL,East,Southeast,Away,Win,1,104,31,12,11,7,14,85,42,65,37,20,5,23,15,6,41,29,24,21,30
52,2016-10-29,07:00,BOS,East,Atlantic,Away,Win,1,104,25,13,4,6,26,81,39,50,24,31,15,17,11,4,38,28,16,27,33,CHA,East,Southeast,Home,Loss,0,98,22,9,8,6,17,79,32,47,23,32,9,33,25,6,32,19,22,31,26
53,2016-10-29,07:00,CHA,East,Southeast,Home,Loss,0,98,22,9,8,6,17,79,32,47,23,32,9,33,25,6,32,19,22,31,26,BOS,East,Atlantic,Away,Win,1,104,25,13,4,6,26,81,39,50,24,31,15,17,11,4,38,28,16,27,33
54,2016-10-29,07:30,ORL,East,Southeast,Away,Loss,1,99,21,21,6,5,23,84,38,56,30,28,8,26,15,13,37,20,25,17,37,CLE,East,Central,Home,Win,1,105,17,9,8,6,27,88,36,51,25,37,11,30,22,13,27,33,29,18,25
55,2016-10-29,07:30,CLE,East,Central,Home,Win,1,105,17,9,8,6,27,88,36,51,25,37,11,30,22,13,27,33,29,18,25,ORL,East,Southeast,Away,Loss,1,99,21,21,6,5,23,84,38,56,30,28,8,26,15,13,37,20,25,17,37
56,2016-10-29,07:30,MEM,West,Southwest,Away,Loss,2,104,19,12,3,2,30,86,37,61,28,25,9,26,21,11,29,19,30,28,27,NY,East,Atlantic,Home,Win,3,111,24,13,4,4,25,76,40,55,34,21,6,39,25,6,35,32,25,25,29
